,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Petit Biscuit,Parachute,1.0,2XZn85D188f2bGdV3zmmrF,Parachute,spotify:track:2XZn85D188f2bGdV3zmmrF,0.303,0.532,0.477,0.0,0.13,-10.811,0.0812,81.012,0.515,55.0
1,Petit Biscuit,Parachute,2.0,5D246C2tLKCTeZgcsRfvcA,Burnin,spotify:track:5D246C2tLKCTeZgcsRfvcA,0.044,0.846,0.554,0.000367,0.0797,-8.753,0.0559,113.968,0.784,66.0
2,Petit Biscuit,Parachute,3.0,6QyXAcERauW27QwlxjDvww,Pick Your Battles,spotify:track:6QyXAcERauW27QwlxjDvww,0.0335,0.693,0.683,0.12,0.169,-9.74,0.0454,123.951,0.193,59.0
3,Petit Biscuit,Parachute,4.0,0wUGuObNCcyTSk0IkksyqI,Take Cover,spotify:track:0wUGuObNCcyTSk0IkksyqI,0.276,0.637,0.413,0.00403,0.0969,-13.586,0.136,92.947,0.119,50.0
4,Petit Biscuit,Parachute,5.0,2rDatO6FnEueGcIwD13WeN,Constellation,spotify:track:2rDatO6FnEueGcIwD13WeN,0.143,0.466,0.403,0.00405,0.123,-9.43,0.0371,66.535,0.117,50.0
5,Petit Biscuit,Parachute,6.0,6fagtLLzqZTaGcYcSa5qeA,Drivin Thru the Night,spotify:track:6fagtLLzqZTaGcYcSa5qeA,0.655,0.546,0.586,0.0222,0.0931,-9.319,0.358,123.963,0.384,53.0
6,Petit Biscuit,Parachute,7.0,41sHJRyvhs5thAUFVuG8Ui,Gwana,spotify:track:41sHJRyvhs5thAUFVuG8Ui,0.398,0.624,0.414,0.245,0.164,-12.805,0.0735,125.081,0.185,50.0
7,Petit Biscuit,Parachute,8.0,4aNNFLoRfSOMHeYQXidsXL,I Leave Again,spotify:track:4aNNFLoRfSOMHeYQXidsXL,0.465,0.724,0.476,0.0451,0.0964,-13.832,0.0555,124.006,0.11,64.0
8,Petit Biscuit,Parachute,9.0,382JSV4u3TvnoVcj1jdPt6,Hang On,spotify:track:382JSV4u3TvnoVcj1jdPt6,0.289,0.54,0.421,6.08e-05,0.0941,-11.89,0.132,118.119,0.0386,50.0
9,Petit Biscuit,We Were Young (The Playlist),1.0,63U0o6K3G7waMPX9aZuH3p,We Were Young,spotify:track:63U0o6K3G7waMPX9aZuH3p,0.259,0.738,0.54,0.0,0.114,-6.915,0.155,100.064,0.333,53.0
10,Petit Biscuit,We Were Young (The Playlist),2.0,2fK1bIVZ18vgUKlOxSP5wN,Waterfall,spotify:track:2fK1bIVZ18vgUKlOxSP5wN,0.492,0.682,0.576,0.0399,0.0933,-8.55,0.0883,119.015,0.215,36.0
